token,headword,tokenRank,headRank,tokenBand,headBand,tokenFreq,headFreq,PoS
profoundly,profound,9013,3028,10k,04k,602,2063,Adv
deployed,deploy,9014,3336,10k,04k,602,1712,Verb
bounds,bounds,9015,3892,10k,04k,602,1262,Noun
legion,legion,9016,4925,10k,05k,602,766,Noun
chooses,choose,9017,686,10k,01k,601,17829,Verb
separating,separate,9018,738,10k,01k,601,16598,Verb
restoring,restore,9019,1497,10k,02k,601,6723,Verb
disappearing,disappear,9020,1572,10k,02k,601,6266,Verb
orientated,oriented,9021,2244,10k,03k,601,3607,Verb
planets,planet,9022,2616,10k,03k,601,2711,Noun
repay,repay,9023,2839,10k,03k,601,2340,Verb
elastic,elastic,9024,4001,10k,05k,601,1188,Adj
receptor,receptor,9025,4197,10k,05k,601,1078,Noun
loft,loft,9026,5337,10k,06k,601,645,Noun
expressly,express,9027,510,10k,01k,600,24255,Adv
advising,advise,9028,1022,10k,02k,600,11449,Verb
philosopher,philosophy,9029,1535,10k,02k,600,6444,Noun
heroic,hero,9030,2043,10k,03k,600,4272,Adj
compelling,compel,9031,3370,10k,04k,600,1674,Adj
sediment,sediment,9032,3562,10k,04k,600,1508,Noun
adjourned,adjourn,9033,4350,10k,05k,600,997,Verb
shrubs,shrub,9034,4433,10k,05k,600,957,Noun
outskirts,outskirts,9035,5501,10k,06k,600,600,Noun
nationals,nation,9036,195,10k,01k,599,53721,Adj
unsure,sure,9037,395,10k,01k,599,30586,Adj
voiced,voice,9038,458,10k,01k,599,27102,Noun
circumstance,circumstance,9039,1062,10k,02k,599,11016,Noun
baking,bake,9040,1943,10k,02k,599,4657,Verb
assignments,assign,9041,2154,10k,03k,599,3861,Noun
minimise,minimise,9042,3467,10k,04k,599,1586,Verb
jerked,jerk,9043,3829,10k,04k,599,1300,Verb
indifferent,indifferent,9044,3890,10k,04k,599,1263,Adj
regain,regain,9045,3901,10k,04k,599,1256,Verb
omission,omission,9046,4675,10k,05k,599,860,Noun
algae,algae,9047,5055,10k,06k,599,721,Noun
abbot,abbot,9048,5065,10k,06k,599,718,Noun
upside,up,9049,46,10k,01k,598,223719,Adv
pleasing,please,9050,625,10k,01k,598,19560,Verb
purchasers,purchase,9051,1073,10k,02k,598,10869,Noun
kitchens,kitchen,9052,1303,10k,02k,598,8450,Noun
undertakings,undertake,9053,1405,10k,02k,598,7486,Noun
grinning,grin,9054,2297,10k,03k,598,3460,Verb
brewing,brew,9055,2472,10k,03k,598,3004,Noun
palms,palm,9056,3097,10k,04k,598,1967,Noun
disliked,dislike,9057,3281,10k,04k,598,1765,Verb
embarked,embark,9058,3727,10k,04k,598,1389,Verb
monkey,monkey,9059,4105,10k,05k,598,1124,Noun
canteen,canteen,9060,5098,10k,06k,598,711,Noun
dole,dole,9061,5301,10k,06k,598,653,Verb
scrum,scrum,9062,5314,10k,06k,598,649,Noun
disbelief,disbelief,9063,5509,10k,06k,598,598,Noun
disturb,disturb,9064,1778,10k,02k,597,5310,Verb
floated,float,9065,2253,10k,03k,597,3590,Verb
behaving,behave,9066,2300,10k,03k,597,3456,Verb
raped,rape,9067,2372,10k,03k,597,3255,Verb
biased,bias,9068,2882,10k,03k,597,2275,Noun
predator,predator,9069,3207,10k,04k,597,1831,Noun
unveiled,veil,9070,3217,10k,04k,597,1824,Verb
sentiment,sentiment,9071,3298,10k,04k,597,1754,Noun
manoeuvre,manoeuvre,9072,3728,10k,04k,597,1388,Noun
mattered,matter,9073,382,10k,01k,596,31530,Verb
librarians,library,9074,1005,10k,02k,596,11866,Noun
tougher,tough,9075,2004,10k,03k,596,4437,Adj
terrifying,terrify,9076,3271,10k,04k,596,1769,Adj
whale,whale,9077,3299,10k,04k,596,1753,Noun
staggered,stagger,9078,3774,10k,04k,596,1352,Verb
garments,garment,9079,3894,10k,04k,596,1261,Noun
syllabus,syllabus,9080,4718,10k,05k,596,842,Noun
tangible,tangible,9081,4729,10k,05k,596,837,Adj
qualitative,qualitative,9082,4947,10k,05k,596,760,Adj
distal,distal,9083,5173,10k,06k,596,689,Adj
outsider,out,9084,44,10k,01k,595,230247,Noun
identifies,identify,9085,706,10k,01k,595,17379,Verb
searches,search,9086,1048,10k,02k,595,11180,Noun
benches,bench,9087,2514,10k,03k,595,2905,Noun
slices,slice,9088,2716,10k,03k,595,2529,Noun
differentiated,differentiate,9089,2801,10k,03k,595,2402,Verb
gravitational,gravity,9090,3086,10k,04k,595,1987,Adj
bourgeoisie,bourgeois,9091,3346,10k,04k,595,1699,Noun
mediated,mediate,9092,3361,10k,04k,595,1686,Verb
turf,turf,9093,5334,10k,06k,595,645,Noun
redemption,redemption,9094,5429,10k,06k,595,620,Noun
pulls,pull,9095,853,10k,01k,594,14167,Verb
critically,critic,9096,1126,10k,02k,594,10329,Adv
congratulations,congratulate,9097,3405,10k,04k,594,1640,Noun
sucked,suck,9098,3413,10k,04k,594,1635,Verb
displaced,displace,9099,3761,10k,04k,594,1365,Verb
indifference,indifferent,9100,3890,10k,04k,594,1263,Noun
rig,rig,9101,3983,10k,04k,594,1207,Noun
harassment,harass,9102,4253,10k,05k,594,1051,Noun
pistol,pistol,9103,4477,10k,05k,594,939,Noun
definitive,definitive,9104,5247,10k,06k,594,666,Adj
journalism,journalism,9105,5521,10k,06k,594,594,Noun
gastrin,gastrin,9106,5525,10k,06k,594,594,Irr
sighted,sight,9107,1310,10k,02k,593,8380,Noun
escaping,escape,9108,1368,10k,02k,593,7900,Verb
devote,devote,9109,2052,10k,03k,593,4250,Verb
tails,tail,9110,2097,10k,03k,593,4052,Noun
merged,merge,9111,2219,10k,03k,593,3681,Verb
heavens,heaven,9112,2334,10k,03k,593,3361,Noun
ventilation,ventilate,9113,4291,10k,05k,593,1031,Noun
compass,compass,9114,5366,10k,06k,593,638,Noun
ammunition,ammunition,9115,5380,10k,06k,593,634,Noun
stranded,stranded,9116,5383,10k,06k,593,634,Verb
inefficient,efficient,9117,1156,10k,02k,592,9994,Adj
climbers,climb,9118,1344,10k,02k,592,8075,Noun
liquidity,liquid,9119,2307,10k,03k,592,3436,Noun
erect,erect,9120,2951,10k,03k,592,2162,Verb
insulation,insulate,9121,3940,10k,04k,592,1230,Noun
stereo,stereo,9122,5413,10k,06k,592,626,Noun
barley,barley,9123,5504,10k,06k,592,600,Noun
laughs,laugh,9124,1036,10k,02k,591,11338,Verb
excuses,excuse,9125,2124,10k,03k,591,3946,Noun
suspicions,suspicion,9126,2167,10k,03k,591,3832,Noun
crystals,crystal,9127,2383,10k,03k,591,3216,Noun
clung,cling,9128,3276,10k,04k,591,1766,Verb
commodities,commodity,9129,3524,10k,04k,591,1539,Noun
acquaintance,acquaint,9130,3805,10k,04k,591,1314,Noun
beads,bead,9131,4342,10k,05k,591,1002,Noun
clenched,clench,9132,4893,10k,05k,591,778,Verb
genesis,genesis,9133,5537,10k,06k,591,591,Noun
syntax,syntax,9134,5539,10k,06k,591,591,Noun
exceeds,exceed,9135,2295,10k,03k,590,3465,Verb
closures,closure,9136,2702,10k,03k,590,2558,Noun
nomination,nominate,9137,2973,10k,03k,590,2126,Noun
addiction,addict,9138,3115,10k,04k,590,1946,Noun
arrows,arrow,9139,3324,10k,04k,590,1728,Noun
elephants,elephant,9140,3536,10k,04k,590,1522,Noun
intriguing,intrigue,9141,3686,10k,04k,590,1419,Adj
fore,fore,9142,3998,10k,04k,590,1194,Noun
dusk,dusk,9143,5153,10k,06k,590,693,Noun
nationalists,nation,9144,195,10k,01k,589,53721,Noun
continual,continue,9145,271,10k,01k,589,41032,Adj
taxed,tax,9146,502,10k,01k,589,24693,Verb
undertook,undertake,9147,1405,10k,02k,589,7486,Verb
fatty,fat,9148,1605,10k,02k,589,6101,Adj
distinguishing,distinguish,9149,1614,10k,02k,589,6034,Verb
devotion,devote,9150,2052,10k,03k,589,4250,Noun
chased,chase,9151,2358,10k,03k,589,3291,Verb
offender,offend,9152,2379,10k,03k,589,3233,Noun
provoke,provoke,9153,2463,10k,03k,589,3014,Verb
proprietary,proprietor,9154,3439,10k,04k,589,1609,Adj
upheld,uphold,9155,4058,10k,05k,589,1155,Verb
equitable,equitable,9156,5130,10k,06k,589,702,Noun
granite,granite,9157,5354,10k,06k,589,641,Noun
pike,pike,9158,5417,10k,06k,589,624,Noun
introduces,introduce,9159,557,10k,01k,588,22383,Verb
compares,compare,9160,614,10k,01k,588,20050,Verb
identifier,identify,9161,706,10k,01k,588,17379,Noun
instructor,instruct,9162,1255,10k,02k,588,8947,Noun
castles,castle,9163,1610,10k,02k,588,6074,Noun
labs,laboratory,9164,1830,10k,02k,588,5092,Noun
dispose,dispose,9165,1984,10k,02k,588,4514,Verb
translate,translate,9166,2029,10k,03k,588,4323,Verb
geometric,geometry,9167,3806,10k,04k,588,1314,Adj
microscope,microscope,9168,4012,10k,05k,588,1181,Noun
imperative,imperative,9169,4826,10k,05k,588,801,Adj
pipeline,pipeline,9170,5110,10k,06k,588,707,Noun
gin,gin,9171,5434,10k,06k,588,619,Noun
dancer,dance,9172,1163,10k,02k,587,9888,Noun
wed,wed,9173,2013,10k,03k,587,4404,Verb
piles,pile,9174,2335,10k,03k,587,3360,Noun
addictive,addict,9175,3115,10k,04k,587,1946,Adj
epic,epic,9176,5237,10k,06k,587,671,Noun
scum,scum,9177,5441,10k,06k,587,617,Noun
unpaid,pay,9178,177,10k,01k,586,57431,Adj
guiding,guide,9179,979,10k,01k,586,12236,Verb
warmer,warm,9180,980,10k,01k,586,12163,Adj
lenders,lend,9181,1883,10k,02k,586,4862,Noun
devastated,devastate,9182,3241,10k,04k,586,1802,Verb
gig,gig,9183,4484,10k,05k,586,935,Noun
crest,crest,9184,4688,10k,05k,586,852,Noun
unmarried,marry,9185,549,10k,01k,585,22661,Adj
paints,paint,9186,713,10k,01k,585,17134,Verb
exported,export,9187,1485,10k,02k,585,6836,Noun
attributable,attribute,9188,1979,10k,02k,585,4530,Adj
louder,loud,9189,2075,10k,03k,585,4120,Adj
instinctively,instinct,9190,2510,10k,03k,585,2913,Adv
atom,atom,9191,2546,10k,03k,585,2829,Noun
contemplate,contemplate,9192,2932,10k,03k,585,2192,Verb
buffet,buffet,9193,5420,10k,06k,585,623,Noun
communion,communion,9194,5514,10k,06k,585,596,Noun
expose,expose,9195,1529,10k,02k,584,6478,Verb
subsidiaries,subsidiary,9196,2742,10k,03k,584,2495,Noun
chatting,chat,9197,2797,10k,03k,584,2412,Verb
fists,fist,9198,3365,10k,04k,584,1683,Noun
pork,pork,9199,5449,10k,06k,584,614,Noun
ordeal,ordeal,9200,5470,10k,06k,584,609,Noun
underway,underway,9201,5580,10k,06k,584,584,Noun
pleasures,pleasure,9202,1643,10k,02k,583,5925,Noun
visually,visual,9203,1832,10k,02k,583,5082,Adv
theoretically,theoretical,9204,2220,10k,03k,583,3681,Adv
bookings,booking,9205,2429,10k,03k,583,3095,Noun
ropes,rope,9206,2834,10k,03k,583,2347,Noun
typed,typed,9207,3636,10k,04k,583,1456,Noun
cans,cans,9208,4454,10k,05k,583,948,Noun
winger,winger,9209,5037,10k,06k,583,727,Noun
tempered,tempered,9210,5467,10k,06k,583,611,Verb
mouths,mouth,9211,1109,10k,02k,582,10494,Noun
reassure,assure,9212,1308,10k,02k,582,8410,Verb
universally,universe,9213,1598,10k,02k,582,6128,Adv
undergoing,undergo,9214,2784,10k,03k,582,2434,Verb
ingredient,ingredient,9215,3216,10k,04k,582,1824,Noun
warrior,warrior,9216,4104,10k,05k,582,1125,Noun
practicable,practicable,9217,4872,10k,05k,582,787,Adj
regent,regent,9218,5388,10k,06k,582,633,Noun
mahogany,mahogany,9219,5574,10k,06k,582,585,Noun
survives,survive,9220,953,10k,01k,581,12522,Verb
persuading,persuade,9221,1843,10k,02k,581,5040,Verb
symptom,symptom,9222,2092,10k,03k,581,4067,Noun
loneliness,lone,9223,2316,10k,03k,581,3414,Noun
tins,tin,9224,2477,10k,03k,581,2986,Noun
greeting,greet,9225,2530,10k,03k,581,2856,Verb
terraces,terrace,9226,2550,10k,03k,581,2824,Noun
stride,stride,9227,3233,10k,04k,581,1812,Noun
sketches,sketch,9228,3251,10k,04k,581,1789,Noun
proprietor,proprietor,9229,3439,10k,04k,581,1609,Noun
chord,chord,9230,4210,10k,05k,581,1070,Noun
diocese,diocese,9231,4285,10k,05k,581,1034,Noun
periodic,period,9232,410,10k,01k,580,29784,Adj
interact,interact,9233,1750,10k,02k,580,5418,Verb
missionary,mission,9234,2076,10k,03k,580,4119,Adj
biscuit,biscuit,9235,3459,10k,04k,580,1592,Noun
shivered,shiver,9236,3553,10k,04k,580,1511,Verb
bloc,bloc,9237,5069,10k,06k,580,716,Noun
maiden,maiden,9238,5229,10k,06k,580,673,Adj
yuan,yuan,9239,5593,10k,06k,580,581,Noun
markers,mark,9240,464,10k,01k,579,26447,Noun
judgments,judge,9241,620,10k,01k,579,19661,Noun
killings,kill,9242,638,10k,01k,579,19169,Noun
crises,crisis,9243,1521,10k,02k,579,6539,Noun
furiously,furious,9244,3189,10k,04k,579,1844,Adv
sting,sting,9245,3818,10k,04k,579,1307,Noun
trader,trade,9246,416,10k,01k,578,29542,Noun
computerised,computer,9247,560,10k,01k,578,22292,Adj
instability,stable,9248,1339,10k,02k,578,8103,Noun
intensified,intense,9249,1363,10k,02k,578,7962,Verb
arrests,arrest,9250,1523,10k,02k,578,6524,Noun
corresponds,correspond,9251,1707,10k,02k,578,5603,Verb
tapping,tap,9252,2081,10k,03k,578,4100,Verb
sins,sin,9253,2697,10k,03k,578,2567,Noun
outlet,outlet,9254,3730,10k,04k,578,1386,Noun
tug,tug,9255,3903,10k,04k,578,1255,Noun
hop,hop,9256,3924,10k,04k,578,1242,Noun
precautions,precaution,9257,4322,10k,05k,578,1013,Noun
plague,plague,9258,4448,10k,05k,578,951,Verb
sherry,sherry,9259,5563,10k,06k,578,587,Noun
unrealistic,real,9260,330,10k,01k,577,35217,Adj
gardeners,garden,9261,721,10k,01k,577,16928,Noun
fuels,fuel,9262,1713,10k,02k,577,5590,Noun
pins,pin,9263,2424,10k,03k,577,3110,Noun
dictated,dictate,9264,2765,10k,03k,577,2460,Verb
spark,spark,9265,3428,10k,04k,577,1620,Verb
broker,broker,9266,3706,10k,04k,577,1401,Noun
realization,realise,9267,735,10k,01k,576,16669,Noun
dangerously,danger,9268,833,10k,01k,576,14555,Adv
conferred,confer,9269,948,10k,01k,576,12573,Verb
morally,moral,9270,1388,10k,02k,576,7726,Adv
pioneering,pioneer,9271,3069,10k,04k,576,2010,Adj
validation,validate,9272,3746,10k,04k,576,1373,Noun
stout,stout,9273,5134,10k,06k,576,702,Noun
compost,compost,9274,5278,10k,06k,576,658,Noun
attic,attic,9275,5381,10k,06k,576,634,Adj
mantle,mantle,9276,5478,10k,06k,576,606,Noun
govern,govern,9277,110,10k,01k,575,77023,Verb
builds,build,9278,200,10k,01k,575,52472,Verb
afforded,afford,9279,1690,10k,02k,575,5669,Verb
discounts,discount,9280,2340,10k,03k,575,3343,Noun
coincided,coincide,9281,2534,10k,03k,575,2852,Verb
guerrilla,guerilla,9282,3773,10k,04k,575,1353,Noun
bulbs,bulb,9283,4118,10k,05k,575,1119,Noun
ants,ant,9284,4250,10k,05k,575,1053,Noun
overt,overt,9285,4755,10k,05k,575,829,Adj
ragged,ragged,9286,5390,10k,06k,575,632,Adj
warmly,warm,9287,980,10k,01k,574,12163,Adv
apologise,apology,9288,2532,10k,03k,574,2853,Verb
seize,seize,9289,2687,10k,03k,574,2583,Verb
devise,devise,9290,2868,10k,03k,574,2291,Verb
swell,swell,9291,3007,10k,04k,574,2082,Noun
stripes,stripe,9292,3581,10k,04k,574,1498,Noun
complexes,complex,9293,976,10k,01k,573,12254,Noun
extraction,extract,9294,2115,10k,03k,573,3976,Noun
robbed,rob,9295,2239,10k,03k,573,3627,Verb
jackets,jacket,9296,2275,10k,03k,573,3524,Noun
clip,clip,9297,3356,10k,04k,573,1687,Noun
sweater,sweater,9298,5016,10k,06k,573,732,Noun
demolition,demolition,9299,5496,10k,06k,573,602,Noun
phoenix,phoenix,9300,5600,10k,06k,573,580,Noun
reminding,remind,9301,1531,10k,02k,572,6465,Verb
converting,convert,9302,1782,10k,02k,572,5300,Verb
verses,verse,9303,2969,10k,03k,572,2131,Noun
humiliation,humiliate,9304,3741,10k,04k,572,1376,Noun
awe,awe,9305,5149,10k,06k,572,694,Noun
wallet,wallet,9306,5241,10k,06k,572,670,Noun
forties,four,9307,127,10k,01k,571,69820,Num
seeming,seem,9308,154,10k,01k,571,61164,Verb
additionally,add,9309,223,10k,01k,571,47945,Adv
invaded,invade,9310,3634,10k,04k,571,1459,Verb
fumes,fume,9311,4596,10k,05k,571,888,Verb
violin,violin,9312,4733,10k,05k,571,836,Noun
multinational,multinational,9313,4801,10k,05k,571,811,Adj
vicinity,vicinity,9314,5609,10k,06k,571,578,Noun
banker,bank,9315,430,10k,01k,570,28750,Noun
lied,lie,9316,760,10k,01k,570,16047,Verb
hairs,hair,9317,762,10k,01k,570,15937,Noun
detector,detect,9318,1289,10k,02k,570,8670,Noun
shocking,shock,9319,1419,10k,02k,570,7394,Verb
cracking,crack,9320,2109,10k,03k,570,4004,Verb
bacterial,bacterium,9321,3045,10k,04k,570,2036,Adj
packets,packet,9322,3268,10k,04k,570,1771,Noun
infinitely,infinite,9323,3586,10k,04k,570,1494,Adv
piers,pier,9324,4102,10k,05k,570,1128,Noun
wretched,wretch,9325,4938,10k,05k,570,763,Verb
cockpit,cockpit,9326,5542,10k,06k,570,590,Noun
maritime,maritime,9327,5639,10k,06k,570,570,Noun
throws,throw,9328,1008,10k,02k,569,11748,Verb
chop,chop,9329,2915,10k,03k,569,2218,Verb
smash,smash,9330,2961,10k,03k,569,2151,Verb
bean,bean,9331,3165,10k,04k,569,1875,Noun
appalled,appal,9332,3318,10k,04k,569,1737,Verb
brakes,brake,9333,3599,10k,04k,569,1484,Noun
rectangular,rectangle,9334,4387,10k,05k,569,982,Adj
unrelated,relate,9335,180,10k,01k,568,57068,Adj
seriousness,serious,9336,667,10k,01k,568,18312,Noun
confirming,confirm,9337,1152,10k,02k,568,10003,Verb
networking,network,9338,1153,10k,02k,568,10001,Noun
compounded,compound,9339,2522,10k,03k,568,2874,Noun
marching,marched,9340,3058,10k,04k,568,2024,Verb
knots,knot,9341,3373,10k,04k,568,1673,Noun
brokers,broker,9342,3706,10k,04k,568,1401,Noun
goose,goose,9343,4424,10k,05k,568,963,Noun
larvae,larva,9344,4714,10k,05k,568,843,Noun
fake,fake,9345,4722,10k,05k,568,840,Adj
convoy,convoy,9346,4886,10k,05k,568,781,Noun
crescent,crescent,9347,5548,10k,06k,568,589,Noun
concentrates,concentrate,9348,888,10k,01k,567,13470,Verb
competitiveness,compete,9349,1075,10k,02k,567,10856,Noun
exhibits,exhibit,9350,1225,10k,02k,567,9339,Noun
tearing,tear,9351,1377,10k,02k,567,7841,Verb
auditor,audit,9352,1767,10k,02k,567,5350,Noun
activation,activate,9353,2592,10k,03k,567,2737,Noun
goats,goat,9354,3930,10k,04k,567,1238,Noun
dissatisfaction,dissatisfy,9355,4272,10k,05k,567,1038,Noun
rag,rag,9356,4488,10k,05k,567,932,Noun
tentative,tentative,9357,4524,10k,05k,567,917,Adj
merry,merry,9358,4771,10k,05k,567,821,Noun
marrying,marry,9359,549,10k,01k,566,22661,Verb
specificity,specific,9360,651,10k,01k,566,18661,Noun
grandparents,grandfather,9361,1439,10k,02k,566,7211,Noun
sands,sand,9362,1722,10k,02k,566,5529,Noun
boredom,boring,9363,2162,10k,03k,566,3845,Noun
interfaces,interface,9364,2668,10k,03k,566,2610,Noun
feather,feather,9365,3371,10k,04k,566,1673,Noun
tariffs,tariff,9366,3832,10k,04k,566,1300,Noun
bait,bait,9367,4570,10k,05k,566,899,Noun
frail,frail,9368,4921,10k,05k,566,768,Adj
gradient,gradient,9369,5046,10k,06k,566,723,Noun
lexicon,lexicon,9370,5448,10k,06k,566,615,Noun
baroque,baroque,9371,5659,10k,06k,566,566,Adj
warns,warn,9372,1082,10k,02k,565,10812,Verb
altering,alter,9373,1533,10k,02k,565,6460,Verb
bursting,burst,9374,2293,10k,03k,565,3470,Verb
rhythms,rhythm,9375,2589,10k,03k,565,2746,Noun
disadvantaged,disadvantage,9376,2659,10k,03k,565,2632,Adj
undergone,undergo,9377,2784,10k,03k,565,2434,Verb
pronunciation,pronounce,9378,2850,10k,03k,565,2312,Noun
penetration,penetrate,9379,3020,10k,04k,565,2069,Noun
longed,longing,9380,3545,10k,04k,565,1518,Adj
flicked,flick,9381,3833,10k,04k,565,1299,Verb
glamorous,glamour,9382,3987,10k,04k,565,1200,Adj
fender,fend,9383,4562,10k,05k,565,904,Noun
ordinate,inordinate,9384,4610,10k,05k,565,883,Verb
liquor,liquor,9385,5535,10k,06k,565,591,Noun
vitro,vitro,9386,5664,10k,06k,565,565,Noun
ads,advertise,9387,917,10k,01k,564,12970,Noun
succeeding,succeed,9388,1711,10k,02k,564,5594,Verb
fences,fence,9389,2513,10k,03k,564,2905,Noun
preaching,preach,9390,3187,10k,04k,564,1848,Verb
scrambled,scramble,9391,3849,10k,04k,564,1289,Verb
hurdle,hurdle,9392,4475,10k,05k,564,939,Noun
tract,tract,9393,4532,10k,05k,564,913,Noun
veto,veto,9394,4975,10k,05k,564,748,Noun
rebuilding,build,9395,200,10k,01k,563,52472,Verb
poses,pose,9396,2310,10k,03k,563,3424,Verb
patriotic,patriot,9397,3951,10k,04k,563,1224,Adj
pills,pill,9398,3960,10k,04k,563,1218,Noun
fen,fen,9399,4972,10k,05k,563,749,Noun
treasures,treasure,9400,1760,10k,02k,562,5382,Noun
crashing,crash,9401,1938,10k,02k,562,4677,Verb
mortgages,mortgage,9402,2101,10k,03k,562,4042,Noun
descending,descend,9403,2629,10k,03k,562,2689,Verb
weeds,weed,9404,3645,10k,04k,562,1445,Noun
extinction,extinct,9405,4230,10k,05k,562,1064,Noun
compartment,compartment,9406,4573,10k,05k,562,898,Noun
rationale,rationale,9407,5572,10k,06k,562,585,Noun
infantry,infantry,9408,5670,10k,06k,562,563,Noun
interviewer,interview,9409,1128,10k,02k,561,10288,Noun
installations,install,9410,1775,10k,02k,561,5323,Noun
rot,rot,9411,3166,10k,04k,561,1871,Noun
bolts,bolt,9412,3177,10k,04k,561,1863,Noun
exert,exert,9413,3635,10k,04k,561,1456,Verb
dread,dread,9414,4149,10k,05k,561,1101,Noun
reckless,reckless,9415,4585,10k,05k,561,893,Adj
parsons,parson,9416,4797,10k,05k,561,813,Noun
retorted,retort,9417,4868,10k,05k,561,788,Verb
tractor,tractor,9418,4991,10k,05k,561,744,Noun
diplomacy,diplomacy,9419,5676,10k,06k,561,561,Noun
pants,pants,9420,5677,10k,06k,561,561,Noun
signalling,signal,9421,1526,10k,02k,560,6506,Verb
kicks,kick,9422,1630,10k,02k,560,5969,Verb
taller,tall,9423,1824,10k,02k,560,5108,Adj
endorsement,endorse,9424,2873,10k,03k,560,2282,Noun
deployment,deploy,9425,3336,10k,04k,560,1712,Noun
preoccupation,preoccupy,9426,3612,10k,04k,560,1475,Noun
quotas,quota,9427,3689,10k,04k,560,1416,Noun
assassination,assassin,9428,3718,10k,04k,560,1394,Noun
quarrel,quarrel,9429,4240,10k,05k,560,1058,Verb
dentist,dentist,9430,4526,10k,05k,560,916,Noun
derelict,derelict,9431,5626,10k,06k,560,574,Noun
referrals,refer,9432,391,10k,01k,559,30900,Noun
logically,logic,9433,1740,10k,02k,559,5460,Adv
belts,belt,9434,2493,10k,03k,559,2953,Noun
steer,steer,9435,2989,10k,03k,559,2110,Verb
wreck,wreck,9436,3334,10k,04k,559,1715,Noun
forged,forge,9437,3372,10k,04k,559,1673,Verb
inset,inset,9438,5635,10k,06k,559,572,Noun
beware,beware,9439,5681,10k,06k,559,559,Verb
monsieur,monsieur,9440,5685,10k,06k,559,559,Noun
misunderstanding,understand,9441,350,10k,01k,558,33385,Noun
treats,treat,9442,467,10k,01k,558,26369,Verb
copying,copy,9443,1072,10k,02k,558,10884,Verb
roller,roll,9444,1089,10k,02k,558,10684,Noun
evaluating,evaluate,9445,1639,10k,02k,558,5944,Verb
intimacy,intimate,9446,2761,10k,03k,558,2467,Noun
armoured,armour,9447,3452,10k,04k,558,1598,Adj
pier,pier,9448,4102,10k,05k,558,1128,Noun
banner,banner,9449,4647,10k,05k,558,870,Noun
badge,badge,9450,4749,10k,05k,558,830,Noun
artefacts,artefact,9451,4758,10k,05k,558,828,Noun
facial,facial,9452,5518,10k,06k,558,595,Adj
orderly,order,9453,226,10k,01k,557,47056,Adj
identifiable,identify,9454,706,10k,01k,557,17379,Adj
straightened,straight,9455,1065,10k,02k,557,10997,Verb
restrained,restrain,9456,2541,10k,03k,557,2845,Verb
myths,myth,9457,2800,10k,03k,557,2403,Noun
barrels,barrel,9458,3582,10k,04k,557,1496,Noun
gilt,gilt,9459,4844,10k,05k,557,794,Noun
introductory,introduce,9460,557,10k,01k,556,22383,Adj
poorest,poor,9461,707,10k,01k,556,17287,Adj
theatres,theatre,9462,1442,10k,02k,556,7181,Noun
composers,compose,9463,1482,10k,02k,556,6859,Noun
resorts,resort,9464,2408,10k,03k,556,3146,Noun
contested,contest,9465,2426,10k,03k,556,3109,Noun
sentencing,sentencing,9466,3181,10k,04k,556,1854,Noun
pinch,pinch,9467,4107,10k,05k,556,1124,Noun
skip,skip,9468,4185,10k,05k,556,1083,Verb
crouched,crouch,9469,4325,10k,05k,556,1012,Verb
reshuffle,reshuffle,9470,5254,10k,06k,556,665,Noun
pasta,pasta,9471,5559,10k,06k,556,587,Noun
basal,basal,9472,5660,10k,06k,556,566,Adj
directives,directed,9473,469,10k,01k,555,26262,Noun
cooker,cook,9474,1210,10k,02k,555,9448,Noun
prayed,pray,9475,1693,10k,02k,555,5658,Verb
ministries,ministry,9476,1736,10k,02k,555,5481,Noun
resemble,resemble,9477,2710,10k,03k,555,2544,Verb
abolish,abolish,9478,3163,10k,04k,555,1877,Verb
bloom,bloom,9479,3779,10k,04k,555,1349,Noun
hissed,hiss,9480,4154,10k,05k,555,1099,Verb
curb,curb,9481,4579,10k,05k,555,896,Verb
tack,tack,9482,4727,10k,05k,555,838,Noun
algorithm,algorithm,9483,4869,10k,05k,555,787,Noun
moist,moist,9484,5091,10k,06k,555,712,Noun
transportation,transport,9485,1123,10k,02k,554,10339,Noun
ions,ion,9486,3793,10k,04k,554,1331,Noun
watches,watch,9487,539,10k,01k,553,23041,Verb
alliances,alliance,9488,2212,10k,03k,553,3698,Noun
plunge,plunge,9489,3307,10k,04k,553,1745,Noun
textiles,textile,9490,3815,10k,04k,553,1308,Noun
diverted,divert,9491,3949,10k,04k,553,1225,Verb
dissent,dissent,9492,4226,10k,05k,553,1065,Noun
volatile,volatile,9493,4331,10k,05k,553,1009,Adj
reef,reef,9494,4835,10k,05k,553,797,Noun
arithmetic,arithmetic,9495,5376,10k,06k,553,636,Noun
repertoire,repertoire,9496,5592,10k,06k,553,581,Noun
distributor,distribute,9497,968,10k,01k,552,12350,Noun
cheapest,cheap,9498,1428,10k,02k,552,7298,Adj
sculptures,sculpt,9499,2483,10k,03k,552,2974,Noun
attained,attain,9500,2749,10k,03k,552,2487,Verb
dotted,dot,9501,2782,10k,03k,552,2439,Noun
athletic,athlete,9502,3080,10k,04k,552,1990,Adj
underlined,underline,9503,3792,10k,04k,552,1332,Verb
saloon,saloon,9504,5214,10k,06k,552,677,Noun
uranium,uranium,9505,5711,10k,06k,552,552,Noun
momentarily,moment,9506,498,10k,01k,551,24753,Adv
staging,stage,9507,552,10k,01k,551,22447,Noun
finishes,finish,9508,787,10k,01k,551,15439,Verb
acknowledgement,acknowledge,9509,1787,10k,02k,551,5259,Noun
